Title,Year
Unifying GANs and Score-Based Diffusion as Generative Particle Models,2023
First Order Methods with Markovian Noise: from Acceleration to Variational Inequalities,2023
Provably Fast Finite Particle Variants of SVGD via Virtual Particle Stochastic Approximation,2023
Quantum speedups for stochastic optimization,2023
Zero-sum Polymatrix Markov Games: Equilibrium Collapse and Efficient Computation of Nash Equilibria,2023
Payoff-based Learning with Matrix Multiplicative Weights in Quantum Games,2023
"On quantum backpropagation, information reuse, and cheating measurement collapse",2023
Contrastive Lift: 3D Object Instance Segmentation by Slow-Fast Contrastive Fusion,2023
Enhancing Motion Deblurring in High-Speed Scenes with Spike Streams,2023
MotionGPT: Human Motion as a Foreign Language,2023
Real-Time Motion Prediction via Heterogeneous Polyline Transformer with Relative Pose Encoding,2023
Public Opinion Field Effect Fusion in Representation Learning for Trending Topics Diffusion,2023
Topological Parallax: A Geometric Specification for Deep Perception Models,2023
Quantum Bayesian Optimization,2023
GraphMP: Graph Neural Network-based Motion Planning with Efficient Graph Search,2023
Two Sides of The Same Coin: Bridging Deep Equilibrium Models and Neural ODEs via Homotopy Continuation,2023
Wide Neural Networks as Gaussian Processes: Lessons from Deep Equilibrium Models,2023
GEQ: Gaussian Kernel Inspired Equilibrium Models,2023
One-Step Diffusion Distillation via Deep Equilibrium Models,2023
QH9: A Quantum Hamiltonian Prediction Benchmark for QM9 Molecules,2023
LART: Neural Correspondence Learning with Latent Regularization Transformer for 3D Motion Transfer,2023
Learning Motion Refinement for Unsupervised Face Animation,2023
Self-Supervised Motion Magnification by Backpropagating Through Optical Flow,2023
Social Motion Prediction with Cognitive Hierarchies,2023
Flow-Based Feature Fusion for Vehicle-Infrastructure Cooperative 3D Object Detection,2023
Wasserstein Quantum Monte Carlo: A Novel Approach for Solving the Quantum Many-Body Schrödinger Equation,2023
Continuous-time Analysis of Anchor Acceleration,2023
Particle-based Variational Inference with Generalized Wasserstein Gradient Flow,2023
Flexible Attention-Based Multi-Policy Fusion for Efficient Deep Reinforcement Learning,2023
Similarity-based cooperative equilibrium,2023
Shape Non-rigid Kinematics (SNK): A Zero-Shot Method for Non-Rigid Shape Matching via Unsupervised Functional Map Regularized Reconstruction,2023
The Drunkard’s Odometry: Estimating Camera Motion in Deforming Scenes,2023
Modeling Human Visual Motion Processing with Trainable Motion Energy Sensing and a Self-attention Network,2023
Act As You Wish: Fine-Grained Control of Motion Diffusion Model with Hierarchical Semantic Graphs,2023
Temporal Continual Learning with Prior Compensation for Human Motion Prediction,2023
Humans in Kitchens: A Dataset for Multi-Person Human Motion Forecasting with Scene Context,2023
Motion-X: A Large-scale 3D Expressive Whole-body Human Motion Dataset,2023
Intelligent Knee Sleeves: A Real-time Multimodal Dataset for 3D Lower Body Motion Estimation Using Smart Textile,2023
WITRAN: Water-wave Information Transmission and Recurrent Acceleration Network for Long-range Time Series Forecasting,2023
Evaluating Graph Neural Networks for Link Prediction: Current Pitfalls and New Benchmarking,2023
Deep Equilibrium Based Neural Operators for Steady-State PDEs,2023
Physics-Informed Bayesian Optimization of Variational Quantum Circuits,2023
ContinuAR: Continuous Autoregression For Infinite-Fidelity Fusion,2023
Higher-Order Uncoupled Dynamics Do Not Lead to Nash Equilibrium - Except When They Do,2023
Towards LLM4QPE: Unsupervised Pretraining of Quantum Property Estimation and A Benchmark,2024
Node2ket: Efficient High-Dimensional Network Embedding in Quantum Hilbert Space,2024
Fusion Is Not Enough: Single Modal Attacks on Fusion Models for 3D Object Detection,2024
Transformer Fusion with Optimal Transport,2024
FLD: Fourier Latent Dynamics for Structured Motion Representation and Learning,2024
Benign Oscillation of Stochastic Gradient Descent with Large Learning Rate,2024
Don't Judge by the Look: Towards Motion Coherent Video Representation,2024
Neural Polynomial Gabor Fields for Macro Motion Analysis,2024
GNeRP: Gaussian-guided Neural Reconstruction of Reflective Objects with Noisy Polarization Priors,2024
OmniControl: Control Any Joint at Any Time for Human Motion Generation,2024
Neural Auto-designer for Enhanced Quantum Kernels,2024
Input-gradient space particle inference for neural network ensembles,2024
Near-Optimal Quantum Algorithm for Minimizing the Maximal Loss,2024
Motion Guidance: Diffusion-Based Image Editing with Differentiable Motion Estimators,2024
NeRM: Learning Neural Representations for High-Framerate Human Motion Synthesis,2024
Accelerated Sampling with Stacked Restricted Boltzmann Machines,2024
The Consensus Game: Language Model Generation via Equilibrium Search,2024
ReFusion: Improving Natural Language Understanding with Computation-Efficient Retrieval Representation Fusion,2024
Generative Adversarial Equilibrium Solvers,2024
Topological data analysis on noisy quantum computers,2024
MovingParts: Motion-based 3D Part Discovery in Dynamic Radiance Field,2024
Curriculum reinforcement learning for quantum architecture search under hardware errors,2024
Improving equilibrium propagation without weight symmetry through Jacobian homeostasis,2024
Adaptive Window Pruning for Efficient Local Motion Deblurring,2024
Universal Humanoid Motion Representations for Physics-Based Control,2024
TapMo: Shape-aware Motion Generation of Skeleton-free Characters,2024
CrossLoco: Human Motion Driven Control of Legged Robots via Guided Unsupervised Reinforcement Learning,2024
Single Motion Diffusion,2024
